run_name,est_tum,gt_tum,ape_raw_rmse,ape_align_rmse,rpe_2m_align_rmse,rpe_5m_align_rmse,rpe_10m_align_rmse,cross_track_mean,cross_track_median,cross_track_max,row_correct_fraction,row_switch_events,speed_mean,accel_rms,jerk_rms,heading_rate_rms,heading_accel_rms,method,seed,runtime_sec
slpf_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/slpf/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/slpf/seed_11/gps_pose.tum,1.1690622805748068,1.12414440771474,3.3096015300022636,6.982195112751969,12.14751597798246,1.1711612240521663,1.000610492980788,3.882454252367531,0.7493734335839599,32.0,0.17241928747838672,0.032257491765108816,0.013094220381943078,0.13955336364402296,0.050562033949007205,slpf,11,36.460065603256226
slpf_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/slpf/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/slpf/seed_22/gps_pose.tum,1.2042190425956016,1.1563978499735823,3.2724650493728467,7.164947719957273,12.281900620711902,1.2731914029701865,1.0702700914896421,4.320198190739886,0.6892230576441103,34.0,0.17246996482345525,0.031957268586855526,0.012963066167078865,0.14199033685239776,0.051378267735226205,slpf,22,37.84782361984253
slpf_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/slpf/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/slpf/seed_33/gps_pose.tum,1.041821289576855,0.9987894006175655,3.4922798472759733,7.050236592246176,12.523270330745696,1.2506607014284556,1.1643935239232677,3.7893328533972293,0.7393483709273183,29.0,0.17163441057869364,0.031362150316735796,0.012825121027180211,0.1375777126054108,0.04877761715655898,slpf,33,36.861013412475586
spf_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/spf/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/spf/seed_11/gps_pose.tum,1.7525958010989942,1.6714656649791002,3.283499498407654,6.9903215271857,11.083379513825177,1.4700421339059353,1.3094585584003389,4.60816661753962,0.6175548589341693,32.0,0.19237448153888662,0.02703065335818094,0.008763890631905311,0.16277421414761983,0.05210274234114842,spf,11,29.350295543670654
spf_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/spf/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/spf/seed_22/gps_pose.tum,1.3964790202023072,1.2882793845328702,3.361532320028596,6.694023490638144,11.947445851541277,1.3922100194146216,1.225525151029345,3.9433808483158965,0.670846394984326,35.0,0.18194141541393188,0.026182902935891206,0.008738116508943499,0.17714533312409983,0.053668388844079984,spf,22,29.798888444900513
spf_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/spf/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/spf/seed_33/gps_pose.tum,1.377802397824374,1.2928414114831177,3.3363174290910167,6.613479248537961,11.842791781429103,1.3556854747436669,1.191165028226228,4.3219982822676135,0.6927899686520376,37.0,0.18387403996006538,0.02444696594234246,0.00810797215378534,0.17109926068853126,0.05199728428669869,spf,33,29.747973442077637
amcl_ngps_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl_ngps/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl_ngps/seed_11/gps_pose.tum,1.8974498145299705,1.4608075410086612,4.659189947902906,5.404951490631267,1.3756312693330977,1.3542897572983192,0.8716127796786408,4.223865461924436,0.6159600997506235,27.0,0.6395201467071088,0.3737536357184515,0.6781567689388863,0.40168551523230367,0.48389713356330477,AMCL+NGPS,11,0.0
amcl_ngps_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl_ngps/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl_ngps/seed_22/gps_pose.tum,1.9294033386098157,1.4611259911263945,4.6591899524516025,5.40495149063119,1.3756312693331003,1.3542667677337183,0.8716701344411899,4.223824683909616,0.6159600997506235,27.0,0.6395186942340177,0.3737536443520595,0.6781567663343961,0.40168516886553224,0.48389707226250134,AMCL+NGPS,22,0.0
amcl_ngps_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl_ngps/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl_ngps/seed_33/gps_pose.tum,1.8313112869357402,1.4606504400020006,4.659189936062453,5.404951490631283,1.3756312693330732,1.354266950759542,0.8715568179535892,4.223961427698202,0.6159600997506235,27.0,0.6395194146195924,0.3737536364125557,0.6781567663177298,0.4016858300468542,0.4838971617184804,AMCL+NGPS,33,0.0
ngps_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_11/gps_pose.tum,2.8617235154069283,2.805242961095016,3.391938650686634,3.779895931242888,3.933433470773972,1.779339911048431,1.613272467418234,6.277697705624888,0.6190476190476191,60.0,0.49621520619253007,0.09110031993353639,0.038338448523489645,0.5100662544866243,0.1819169795521848,ngps,11,0.14517807960510254
ngps_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_22/gps_pose.tum,3.072534226228402,3.0216533312888565,3.323292967778408,3.5917631136354577,3.558205126675152,1.625345231419208,1.4751606269348698,5.8260922543949265,0.6090225563909775,72.0,0.4812309038480807,0.0949738972718328,0.04038154234665295,0.5253665215663724,0.18056868828767422,ngps,22,0.1446058750152588
ngps_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_33/gps_pose.tum,3.172263375020562,3.1074125166453253,3.9747700052910986,4.5930538110348325,4.817772064526688,1.9075735240792198,1.6700751769197024,16.23766382210901,0.7042606516290727,61.0,0.5377754245230569,0.1152048790689896,0.04547986638640457,0.5267327971766166,0.17978053298630442,ngps,33,0.18932271003723145
amcl_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_11/gps_pose.tum,1.9617348073402303,1.3002828158830904,4.755173217057186,5.5174434903395335,1.5986632873593132,1.2904598662050975,0.8420255905681723,4.299306784729417,0.6234413965087282,28.0,0.6628967068674754,0.5206691064656065,0.9973934248680403,0.4270297807844375,0.5514145123713292,amcl,11,0.0
amcl_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_22/gps_pose.tum,1.9617348073402303,1.3002828158830904,4.755173217057186,5.5174434903395335,1.5986632873593132,1.2904598662050975,0.8420255905681723,4.299306784729417,0.6234413965087282,28.0,0.6628967068674754,0.5206691064656065,0.9973934248680403,0.4270297807844375,0.5514145123713292,amcl,22,0.0
amcl_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_33/gps_pose.tum,1.9617348073402303,1.3002828158830904,4.755173217057186,5.5174434903395335,1.5986632873593132,1.2904598662050975,0.8420255905681723,4.299306784729417,0.6234413965087282,28.0,0.6628967068674754,0.5206691064656065,0.9973934248680403,0.4270297807844375,0.5514145123713292,amcl,33,0.0
rtab_rgbd_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_11/gps_pose.tum,63.96629817407574,6.81010318316702,4.058284966733027,8.2547778219374,4.808407076715303,5.834357972859172,5.513290797647063,19.034396244103515,0.3684210526315789,14.0,0.6244832300696566,0.04020057798749961,0.04796636144052843,0.26692471955883484,0.21765644039460852,rtab_rgbd,11,0.0
rtab_rgbd_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_22/gps_pose.tum,63.96629817407574,6.81010318316702,4.058284966733027,8.2547778219374,4.808407076715303,5.834357972859172,5.513290797647063,19.034396244103515,0.3684210526315789,14.0,0.6244832300696566,0.04020057798749961,0.04796636144052843,0.26692471955883484,0.21765644039460852,rtab_rgbd,22,0.0
rtab_rgbd_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_33/gps_pose.tum,63.96629817407574,6.81010318316702,4.058284966733027,8.2547778219374,4.808407076715303,5.834357972859172,5.513290797647063,19.034396244103515,0.3684210526315789,14.0,0.6244832300696566,0.04020057798749961,0.04796636144052843,0.26692471955883484,0.21765644039460852,rtab_rgbd,33,0.0
rtab_rgb_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_11/gps_pose.tum,63.059592963932886,6.761443559619296,1.1955097084696604,2.352360680217733,4.569660372165993,5.807971149379011,5.560235627816765,19.09631332898004,0.3660477453580902,15.0,0.6265505214340161,0.03977222185003132,0.04720850519302743,0.26541095377697455,0.21679612720382224,rtab_rgb,11,0.0
rtab_rgb_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_22/gps_pose.tum,63.059592963932886,6.761443559619296,1.1955097084696604,2.352360680217733,4.569660372165993,5.807971149379011,5.560235627816765,19.09631332898004,0.3660477453580902,15.0,0.6265505214340161,0.03977222185003132,0.04720850519302743,0.26541095377697455,0.21679612720382224,rtab_rgb,22,0.0
rtab_rgb_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_33/gps_pose.tum,63.059592963932886,6.761443559619296,1.1955097084696604,2.352360680217733,4.569660372165993,5.807971149379011,5.560235627816765,19.09631332898004,0.3660477453580902,15.0,0.6265505214340161,0.03977222185003132,0.04720850519302743,0.26541095377697455,0.21679612720382224,rtab_rgb,33,0.0
