run_name,est_tum,gt_tum,ape_raw_rmse,ape_align_rmse,rpe_2m_align_rmse,rpe_5m_align_rmse,rpe_10m_align_rmse,cross_track_mean,cross_track_median,cross_track_max,row_correct_fraction,row_switch_events,speed_mean,accel_rms,jerk_rms,heading_rate_rms,heading_accel_rms,option,variant,seed,detection_drop_rate,map_remove_rate,map_geojson,runtime_sec
baseline_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/20260225_130359_multiseed_slpf_ngps_run1_recomputed/slpf/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/20260225_130359_multiseed_slpf_ngps_run1_recomputed/slpf/seed_11/gps_pose.tum,1.0315435536353113,1.021308859068359,3.3257236190924284,7.147836244108561,12.301458454707586,1.316816665414458,1.2550735909210742,3.915603009407772,0.6992481203007519,34.0,0.17204626449942692,0.03243343845530749,0.013123524296914142,0.12986767581686773,0.04659894312281882,baseline,full_map,11,0.0,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,0.0
baseline_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/20260225_130359_multiseed_slpf_ngps_run1_recomputed/slpf/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/20260225_130359_multiseed_slpf_ngps_run1_recomputed/slpf/seed_22/gps_pose.tum,1.056229842510909,1.0096019918607553,3.29802786971958,6.927185212785585,11.930253301428268,1.243425532414698,1.0613539359967232,4.434740804600775,0.7418546365914787,33.0,0.17230723940615972,0.03200328187787433,0.012983449283915371,0.15097021199443922,0.05159647692054433,baseline,full_map,22,0.0,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,0.0
baseline_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/20260225_130359_multiseed_slpf_ngps_run1_recomputed/slpf/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/20260225_130359_multiseed_slpf_ngps_run1_recomputed/slpf/seed_33/gps_pose.tum,0.9840325840393505,0.9578224168527772,3.3587444279885497,6.985377887858545,11.828538037696118,1.357476026656454,1.199692427122213,3.9026051947104516,0.731829573934837,32.0,0.173378173746301,0.031690460568821036,0.012843776318781752,0.14550865971922328,0.05491376198390054,baseline,full_map,33,0.0,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,0.0
drop_20pct_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_20pct/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_20pct/seed_11/gps_pose.tum,0.992786443112851,0.9901844699680168,3.448093409779674,7.262191468491648,12.49710103029708,1.3029759767980433,1.1396097790209287,3.702258924566118,0.7393483709273183,38.0,0.17183903872610357,0.03222776411745757,0.013046659544926195,0.13617708331291928,0.04795158670325003,option_a_detection_drop,drop_20pct,11,0.2,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,35.622236251831055
drop_20pct_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_20pct/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_20pct/seed_22/gps_pose.tum,1.162813419021528,1.1330281929009127,3.294740228112064,6.81124292242403,11.766477923100448,1.2431940338763212,1.0962894783815234,4.3000540481802405,0.7218045112781954,34.0,0.1736289746588476,0.03233632376094218,0.013190929169964385,0.1348091927292068,0.04776241416155556,option_a_detection_drop,drop_20pct,22,0.2,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,35.81037092208862
drop_20pct_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_20pct/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_20pct/seed_33/gps_pose.tum,0.9776966562355409,0.9403608515976596,3.364317167924582,6.814836923678525,12.418763432339668,1.371111707672253,1.206728870064109,3.9347341591961618,0.7368421052631579,28.0,0.17170757653561508,0.03152859435080379,0.012829574581331915,0.12567782867174856,0.04362234726238851,option_a_detection_drop,drop_20pct,33,0.2,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,35.53400731086731
drop_40pct_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_40pct/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_40pct/seed_11/gps_pose.tum,1.0963225100933345,1.083309779538887,3.335325659645429,7.023554641206527,11.973389986798777,1.202168741747258,1.0750389175128947,3.783211170885186,0.7518796992481203,32.0,0.1725094653474786,0.032505808738985335,0.013195346387789225,0.13006590401522128,0.04380443391755776,option_a_detection_drop,drop_40pct,11,0.4,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,35.80854344367981
drop_40pct_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_40pct/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_40pct/seed_22/gps_pose.tum,1.1991857221851565,1.137435227277405,3.282377389713215,7.0676957391982445,12.097225734675066,1.264572278997925,1.0569528338759646,4.221325652536816,0.6967418546365914,30.0,0.17224647900361337,0.03212033921487044,0.013047896404619444,0.13740653107613482,0.04945208128733354,option_a_detection_drop,drop_40pct,22,0.4,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,36.044758558273315
drop_40pct_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_40pct/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_a_detection_drop/drop_40pct/seed_33/gps_pose.tum,0.9303066375098891,0.925003092592703,3.382481496750035,6.997136412733202,12.514387811705213,1.3217464144258022,1.1726029964055449,3.74949254565524,0.7568922305764411,30.0,0.17354089736215786,0.03169944629193234,0.012880219002908743,0.13090996950875353,0.0464054135458648,option_a_detection_drop,drop_40pct,33,0.4,0.0,/home/pulver/projects/Outdoor_SLPF/data/riseholme_poles_trunk.geojson,35.83931875228882
remove_30pct_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_30pct/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_30pct/seed_11/gps_pose.tum,1.086158068743409,1.0773587160387608,3.3345688022768925,6.9545277667097265,12.25791110786226,1.2609576204287392,1.0985691320276016,3.986748861663917,0.731829573934837,28.0,0.17385876582927287,0.03357741854156843,0.01360210592591019,0.13554068053060542,0.04749842953949496,option_b_landmark_removal,remove_30pct,11,0.0,0.3,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_map_variants/riseholme_poles_trunk_remove_30pct.geojson,35.787012338638306
remove_30pct_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_30pct/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_30pct/seed_22/gps_pose.tum,1.1108405293227988,1.0639775489930612,3.3685600984028405,6.960455726700595,12.293281320316263,1.2477350029326062,1.0763355593200787,4.300025021004742,0.7243107769423559,30.0,0.17089104931941795,0.032666132474632015,0.013229236955841989,0.1391746333058845,0.04411396541033172,option_b_landmark_removal,remove_30pct,22,0.0,0.3,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_map_variants/riseholme_poles_trunk_remove_30pct.geojson,35.68778967857361
remove_30pct_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_30pct/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_30pct/seed_33/gps_pose.tum,1.0467527582357576,0.9943074153824731,3.4116133201117114,7.090723908081705,12.71946330812266,1.2865503270926886,1.2028657722163263,3.8473821820941922,0.706766917293233,33.0,0.17081428904118395,0.03153818794037268,0.012811946326784793,0.13532732380445514,0.05056415588136102,option_b_landmark_removal,remove_30pct,33,0.0,0.3,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_map_variants/riseholme_poles_trunk_remove_30pct.geojson,35.46339750289917
remove_50pct_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_50pct/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_50pct/seed_11/gps_pose.tum,1.283987511105988,1.25921903360221,3.381756588935381,7.132763625371556,11.892760026960397,1.3161796389872775,1.100717423006108,4.136056650722408,0.7092731829573935,31.0,0.17448316151976506,0.03280616415346776,0.013301289634502524,0.13086147296970302,0.04650609803273589,option_b_landmark_removal,remove_50pct,11,0.0,0.5,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_map_variants/riseholme_poles_trunk_remove_50pct.geojson,35.80640363693237
remove_50pct_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_50pct/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_50pct/seed_22/gps_pose.tum,1.183434887612118,1.169407758499628,3.2810810388239564,7.107467250670642,12.018887549757963,1.2975445887366368,1.0995573921968285,4.7323853901685204,0.7167919799498746,32.0,0.1723351819323349,0.032383491409032295,0.013166107370116125,0.13648762765162262,0.04863036087192395,option_b_landmark_removal,remove_50pct,22,0.0,0.5,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_map_variants/riseholme_poles_trunk_remove_50pct.geojson,35.623279333114624
remove_50pct_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_50pct/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_landmark_removal/remove_50pct/seed_33/gps_pose.tum,0.9960726662388,0.9529972059677297,3.4193469560851146,7.087494795901735,12.64070829336634,1.3543630415354746,1.2861622844584564,3.7507270894395646,0.7218045112781954,30.0,0.1730691710640256,0.03156680504697408,0.012842127146687188,0.1386609550675806,0.050872471060010103,option_b_landmark_removal,remove_50pct,33,0.0,0.5,/home/pulver/projects/Outdoor_SLPF/results/iros_rh1_robustness/20260225_151229_run1_robustness_gpu/option_b_map_variants/riseholme_poles_trunk_remove_50pct.geojson,35.64972543716431
